player_name,win_rate,aces,double_faults,total_points_won,total_won_on_return,IA,IE,ID,cluster
Maximiliano Arce,0.5652173913043478,0.0,0.0,51.391304347826086,38.17391304347826,0.0,0.0,38.17391304347826,3
Maximiliano Jael Cejas,0.0,0.0,0.0,37.0,29.0,0.0,0.0,29.0,3
Melania Merino Saez,0.40384615384615385,0.0,0.09615384615384616,46.65384615384615,38.71153846153846,0.0,0.002017756255044391,38.71153846153846,2
Menno Nolten,0.4,0.0,0.0,46.2,32.4,0.0,0.0,32.4,3
Michele Bruno,0.0,0.0,0.0,38.0,23.0,0.0,0.0,23.0,3
Miguel Angel Solbes,0.1875,0.0,0.0,45.1875,31.8125,0.0,0.0,31.8125,3
Miguel Benitez,0.40476190476190477,0.023809523809523808,0.0,47.61904761904762,35.57142857142857,0.00963718820861678,0.0,35.57142857142857,1
Miguel Deus,0.4444444444444444,0.05555555555555555,0.1388888888888889,49.5,34.333333333333336,0.024691358024691357,0.0027502750275027505,34.333333333333336,0
Miguel Gonzalez,0.21428571428571427,0.0,0.07142857142857142,46.357142857142854,33.857142857142854,0.0,0.0015082956259426848,33.857142857142854,2
Miguel Lamperti,0.35185185185185186,0.0,0.037037037037037035,47.888888888888886,32.7037037037037,0.0,0.0007575757575757576,32.7037037037037,2
Miguel Melero Bernal,0.0,0.0,0.0,46.0,32.0,0.0,0.0,32.0,3
Miguel Semmler,0.4166666666666667,0.041666666666666664,0.041666666666666664,49.416666666666664,37.333333333333336,0.017361111111111112,0.0008264462809917355,37.333333333333336,0
Miguel Yanguas,0.6884057971014492,0.007246376811594203,0.028985507246376812,53.2536231884058,40.89855072463768,0.004988447805082966,0.0005342593829304127,40.89855072463768,1
Mireia Herrada Ruiz,0.0,0.0,0.0,31.5,24.0,0.0,0.0,24.0,3
Mohamed Aboulkassem,0.5,0.0,0.5,42.0,28.5,0.0,0.011627906976744186,28.5,2
Mohammed Abdulla,0.0,0.0,0.0,31.0,24.0,0.0,0.0,24.0,3
Mohammed Al Khanji,0.0,0.0,0.0,27.0,27.5,0.0,0.0,27.5,3
Mohammed Saadon Alkuwari,0.0,0.0,0.2,33.6,20.2,0.0,0.005780346820809248,20.2,2
Momo Gonzalez,0.639344262295082,0.0,0.00819672131147541,52.30327868852459,39.704918032786885,0.0,0.00015377518068583732,39.704918032786885,2
Monica Gomez Rivas,0.26666666666666666,0.0,0.0,43.266666666666666,38.333333333333336,0.0,0.0,38.333333333333336,3
Mora Hakim,0.0,0.0,0.0,25.0,10.0,0.0,0.0,10.0,3
Moura Hakim,0.0,0.0,0.0,35.5,33.0,0.0,0.0,33.0,3
Nacho Moragues Molt??,0.6,0.0,0.0,49.6,37.2,0.0,0.0,37.2,3
Nacho Vilari??o,0.35714285714285715,0.0,0.0,46.476190476190474,33.214285714285715,0.0,0.0,33.214285714285715,3
Naim Horacio Diaz,0.0,0.0,0.0,44.0,41.0,0.0,0.0,41.0,3
Natalia Blanco,0.0,0.0,0.0,33.5,24.5,0.0,0.0,24.5,3
Natividad Lopez Diaz,0.16666666666666666,0.0,0.0,42.666666666666664,34.0,0.0,0.0,34.0,3
Nawaf Alkadi,0.0,0.0,0.0,26.0,26.0,0.0,0.0,26.0,3
Nicolas Suescun,0.3333333333333333,0.0,0.0,47.111111111111114,36.44444444444444,0.0,0.0,36.44444444444444,3
Noa Canovas Paredes,0.391304347826087,0.0,0.10144927536231885,47.18840579710145,40.971014492753625,0.0,0.002105263157894737,40.971014492753625,2
Noemi Aguilar Carrillo,0.2857142857142857,0.0,0.02857142857142857,46.48571428571429,39.08571428571429,0.0,0.0006016847172081828,39.08571428571429,2
Nuno Deus,0.4473684210526316,0.05263157894736842,0.18421052631578946,49.3421052631579,34.18421052631579,0.023545706371191133,0.003659174072138003,34.18421052631579,0
Nuria Rodriguez,0.4057971014492754,0.0,0.057971014492753624,48.78260869565217,41.6231884057971,0.0,0.0011644832605531296,41.6231884057971,2
Nuria Vivancos,0.16666666666666666,0.0,0.0,44.333333333333336,36.333333333333336,0.0,0.0,36.333333333333336,3
Omar Althagib,0.0,0.0,0.5,30.0,21.0,0.0,0.016129032258064516,21.0,2
Oscar Matias Almada,0.0,0.0,0.0,47.0,32.333333333333336,0.0,0.0,32.333333333333336,3
Pablo Acevedo Iturribarria,0.0,0.0,0.0,35.0,17.0,0.0,0.0,17.0,3
Pablo Cardona,0.6063829787234043,0.010638297872340425,0.05319148936170213,51.297872340425535,36.787234042553195,0.006450882752376642,0.0010170870626525631,36.787234042553195,1
Pablo Castillo Valverde,0.0,0.0,0.0,41.25,29.5,0.0,0.0,29.5,3
Pablo Francisco Amora Hernandez,0.0,0.0,0.0,37.0,21.0,0.0,0.0,21.0,3
Pablo Garcia Rodrigo,0.34545454545454546,0.0,0.01818181818181818,47.61818181818182,35.14545454545455,0.0,0.00037397157816005983,35.14545454545455,2
Pablo Lij??,0.36363636363636365,0.0,0.09090909090909091,48.81818181818182,36.72727272727273,0.0,0.0018248175182481751,36.72727272727273,2
Pablo Lijo,0.4339622641509434,0.0,0.018867924528301886,49.43396226415094,36.83018867924528,0.0,0.0003741114852225963,36.83018867924528,2
Pablo Lima,0.42857142857142855,0.14285714285714285,0.0,50.42857142857143,43.142857142857146,0.06122448979591836,0.0,43.142857142857146,0
Pablo Marqu??s Gonzalez,0.0,0.0,0.0,47.0,31.0,0.0,0.0,31.0,3
Pablo Molina Tofanelli,0.3333333333333333,0.0,0.0,47.666666666666664,45.666666666666664,0.0,0.0,45.666666666666664,3
Pablo Pastor Landaburu,0.5,0.0,0.0,50.5,41.5,0.0,0.0,41.5,3
Pablo Reina Ambel,0.0,0.0,0.0,41.0,27.0,0.0,0.0,27.0,3
Patricia Llaguno Zielinski,0.5865384615384616,0.019230769230769232,0.0673076923076923,52.70192307692308,45.07692307692308,0.011279585798816568,0.001253357206803939,45.07692307692308,0
Patricia Maria Ribeiro,0.21428571428571427,0.0,0.0,41.42857142857143,33.785714285714285,0.0,0.0,33.785714285714285,3
Patricia Martinez Fortun,0.3157894736842105,0.02631578947368421,0.10526315789473684,46.026315789473685,39.78947368421053,0.008310249307479223,0.0022383883603805258,39.78947368421053,1
Pau Mi??ano Ortinez,0.3333333333333333,0.0,0.0,47.166666666666664,34.166666666666664,0.0,0.0,34.166666666666664,3
Paula Josemaria Martin,0.8280254777070064,0.025477707006369428,0.01910828025477707,57.22929936305732,49.59235668789809,0.02109619051482819,0.00032815576460293154,49.59235668789809,0
Pedro Araujo,0.2,0.0,0.0,46.2,32.6,0.0,0.0,32.6,3
Pedro Melendez Amaya,0.23529411764705882,0.0,0.0,48.1764705882353,35.588235294117645,0.0,0.0,35.588235294117645,3
Pedro Vera,0.0,0.0,0.0,40.5,30.0,0.0,0.0,30.0,3
Pepe Aliaga,0.0,0.0,0.0,44.5,27.0,0.0,0.0,27.0,3
Philemon Raichman,0.5,0.0,0.0,47.75,32.25,0.0,0.0,32.25,3
Pier Giulio Farabbi,0.0,0.0,0.0,45.5,34.0,0.0,0.0,34.0,3
Pol Hernandez,0.4146341463414634,0.0,0.0,49.31707317073171,36.19512195121951,0.0,0.0,36.19512195121951,3
Pyry Hyrkk??nen,0.0,0.0,0.0,42.0,20.0,0.0,0.0,20.0,3
Qassem Alobidan,0.0,0.0,0.0,27.0,17.0,0.0,0.0,17.0,3
Rafael Mendez,0.43333333333333335,0.0,0.0,48.06666666666667,36.96666666666667,0.0,0.0,36.96666666666667,3
Ramiro Moyano,0.35714285714285715,0.0,0.047619047619047616,47.285714285714285,35.333333333333336,0.0,0.0009861932938856016,35.333333333333336,2
Ramiro Valenzuela,0.4444444444444444,0.0,0.0,49.55555555555556,36.916666666666664,0.0,0.0,36.916666666666664,3
Raquel Eugenio Barrera,0.46808510638297873,0.0,0.0425531914893617,48.787234042553195,41.723404255319146,0.0,0.0008547008547008546,41.723404255319146,2
Raquel Piltcher,0.08333333333333333,0.0,0.0,42.916666666666664,37.0,0.0,0.0,37.0,3
