player_name,win_rate,aces,double_faults,total_points_won,total_won_on_return,IA,IE,ID,cluster
Claudia Jensen Sirvent,0.64,0.04,0.013333333333333334,53.54666666666667,46.70666666666666,0.0256,0.0002444390124663896,46.70666666666666,3
Claudia Ordo??ez Romero,0.5,0.0,0.0,39.0,33.0,0.0,0.0,33.0,2
Clement Geens,0.38461538461538464,0.0,0.07692307692307693,46.46153846153846,30.846153846153847,0.0,0.001620745542949757,30.846153846153847,2
Coral Alvarez Castro,0.0,0.0,0.0,40.0,30.0,0.0,0.0,30.0,0
Cristian German Gutierrez,0.26666666666666666,0.0,0.0,46.13333333333333,36.13333333333333,0.0,0.0,36.13333333333333,2
Cristian Jensen Sirvent,0.0,0.0,0.0,43.0,42.0,0.0,0.0,42.0,0
Cristina Gonzalez Cidoncha,0.0,0.0,0.0,40.0,30.0,0.0,0.0,30.0,0
Cristina Gonzalez Moro,0.0,0.0,0.0,42.0,40.0,0.0,0.0,40.0,0
Cristobal Martinez,0.25,0.0,0.25,45.75,40.0,0.0,0.0053475935828877,40.0,2
Cristobal Molina,0.0,0.0,1.0,40.0,23.0,0.0,0.024390243902439025,23.0,1
Daiara Agustina Valenzuela,0.25,0.0,0.0,47.0,38.25,0.0,0.0,38.25,2
Daiara Valenzuela,0.0,0.0,0.0,42.5,34.5,0.0,0.0,34.5,0
Daniel Appelgren,0.0,0.0,0.0,46.0,33.0,0.0,0.0,33.0,0
Daniel Luna Peinado,0.0,0.0,0.0,47.0,31.0,0.0,0.0,31.0,0
Daniel Santigosa,0.29411764705882354,0.0,0.058823529411764705,47.911764705882355,33.705882352941174,0.0,0.0012026458208057725,33.705882352941174,2
Daniel Windahl,0.2857142857142857,0.0,0.09523809523809523,46.95238095238095,32.857142857142854,0.0,0.0019860973187686196,32.857142857142854,2
Daniela Banchero,0.0,0.0,0.0,35.0,24.0,0.0,0.0,24.0,0
Daniele Cattaneo,0.3333333333333333,0.0,0.0,45.0,27.0,0.0,0.0,27.0,0
David Gala,0.40425531914893614,0.0,0.0425531914893617,48.361702127659576,35.680851063829785,0.0,0.0008620689655172414,35.680851063829785,2
Delfina Brea Senesi,0.8355263157894737,0.02631578947368421,0.006578947368421052,56.875,50.05263157894737,0.02198753462603878,0.00011367511651699443,50.05263157894737,3
Denis Tomas Perino,0.3617021276595745,0.0,0.0425531914893617,48.57446808510638,36.06382978723404,0.0,0.0008583690987124463,36.06382978723404,2
Diego Arredondo Garc??a,0.0,0.0,0.0,42.0,27.0,0.0,0.0,27.0,0
Diego Arredondo Garcia,0.2,0.0,0.0,41.6,25.8,0.0,0.0,25.8,0
Diego Garc??a,0.16666666666666666,0.0,0.16666666666666666,44.666666666666664,27.333333333333332,0.0,0.0036496350364963502,27.333333333333332,0
Diego Garcia Garcia,0.5,0.0,0.0,48.833333333333336,39.166666666666664,0.0,0.0,39.166666666666664,2
Diego Gil,0.2692307692307692,0.0,0.038461538461538464,46.0,33.15384615384615,0.0,0.0008183306055646482,33.15384615384615,2
Diogo Jesus,0.5,0.0,0.0,52.0,41.5,0.0,0.0,41.5,2
Dora Andrejszki,0.0,0.0,0.0,36.0,27.0,0.0,0.0,27.0,0
Dora Chamli,0.5,0.0,0.0,44.5,41.5,0.0,0.0,41.5,2
Douglas Rutgersson,0.0,0.0,0.0,40.5,28.0,0.0,0.0,28.0,0
Dylan Demian Cuello,0.0,0.0,0.0,45.333333333333336,30.0,0.0,0.0,30.0,0
Dylan Guichard,0.16666666666666666,0.0,0.0,47.166666666666664,34.5,0.0,0.0,34.5,0
Edu Alonso,0.58,0.0,0.03,51.65,39.61,0.0,0.0005698005698005698,39.61,2
Elena De La Rosa Ramos,0.0,0.0,0.0,36.0,33.0,0.0,0.0,33.0,0
Elisabet Amatriain Armas,0.3333333333333333,0.0,0.6666666666666666,49.0,38.0,0.0,0.013333333333333332,38.0,1
Ella Sillanp????,0.0,0.0,0.0,39.0,38.0,0.0,0.0,38.0,0
Elsa Terranova,0.0,0.0,0.0,44.0,32.0,0.0,0.0,32.0,0
Emiliano Martin Iriart,0.14285714285714285,0.0,0.0,46.0,35.285714285714285,0.0,0.0,35.285714285714285,0
Emilio Sanchez,0.38636363636363635,0.0,0.0,48.04545454545455,35.02272727272727,0.0,0.0,35.02272727272727,2
Emily Stellato,0.2857142857142857,0.14285714285714285,0.0,43.142857142857146,38.857142857142854,0.04081632653061224,0.0,38.857142857142854,3
Emma Karen Reyes Baca,0.0,0.0,0.0,19.0,14.0,0.0,0.0,14.0,0
Enric Sanmarti Beleta,0.0,0.0,0.0,35.0,26.0,0.0,0.0,26.0,0
Enrique Goenaga,0.417910447761194,0.0,0.014925373134328358,49.32835820895522,35.656716417910445,0.0,0.0002965599051008304,35.656716417910445,2
Enzo Jensen,0.38095238095238093,0.0,0.0,50.0,35.523809523809526,0.0,0.0,35.523809523809526,2
Erika Zanchetta,0.0,0.0,2.0,42.0,33.0,0.0,0.046511627906976744,33.0,1
Esther Carnicero Martin,0.375,0.0,0.05,45.4,37.575,0.0,0.0010775862068965517,37.575,2
Facundo Dehnike,0.5,0.0,0.0,49.125,38.5,0.0,0.0,38.5,2
Facundo Dominguez,0.3829787234042553,0.0,0.02127659574468085,49.0,37.12765957446808,0.0,0.000425531914893617,37.12765957446808,2
Facundo Erguy,0.0,0.0,0.0,33.0,22.0,0.0,0.0,22.0,0
Facundo Rodrigo Luis Lopez,0.42857142857142855,0.0,0.0,50.714285714285715,35.57142857142857,0.0,0.0,35.57142857142857,2
Faisal Alrebdi,0.0,0.0,0.3333333333333333,26.333333333333332,18.666666666666668,0.0,0.012195121951219513,18.666666666666668,1
Fares Al Janahi,0.0,0.0,0.0,32.5,27.5,0.0,0.0,27.5,0
Fatma Al Nabhani,0.0,0.0,0.0,28.0,25.0,0.0,0.0,25.0,0
Federico Alejandro Fleitas,0.0,0.0,0.0,43.0,45.0,0.0,0.0,45.0,2
Federico Chingotto,0.8162162162162162,0.0,0.010810810810810811,56.54054054054054,45.14594594594595,0.0,0.00018788163457022076,45.14594594594595,2
Federico Chiostri,0.0,0.0,0.0,45.5,29.0,0.0,0.0,29.0,0
Federico Mouri??o,0.37037037037037035,0.0,0.018518518518518517,47.870370370370374,36.592592592592595,0.0,0.000378931413414172,36.592592592592595,2
Felipe Calleja,0.0,0.0,1.0,38.0,28.0,0.0,0.02564102564102564,28.0,1
Fernando Belasteguin,0.5490196078431373,0.0,0.0392156862745098,50.411764705882355,38.372549019607845,0.0,0.0007627765064836002,38.372549019607845,2
Ferran Insa Sotillo,0.14285714285714285,0.0,0.0,44.0,30.428571428571427,0.0,0.0,30.428571428571427,0
Flavio Abbate,0.1875,0.0,0.0,44.0,27.25,0.0,0.0,27.25,0
Fran Ramirez Navas,0.3,0.0,0.0,45.5,33.6,0.0,0.0,33.6,2
Francesca Ligotti,0.0,0.0,0.0,44.0,36.0,0.0,0.0,36.0,0
Francisco Alameda Robles,0.0,0.0,0.0,37.0,27.0,0.0,0.0,27.0,0
Francisco Britos,0.5,0.0,0.0,43.0,34.0,0.0,0.0,34.0,2
Francisco Cabeza Teres,0.43478260869565216,0.0,0.043478260869565216,49.34782608695652,36.65217391304348,0.0,0.0008635578583765112,36.65217391304348,2
Francisco Gil,0.4583333333333333,0.013888888888888888,0.013888888888888888,48.583333333333336,37.486111111111114,0.00636574074074074,0.00028011204481792715,37.486111111111114,2
Francisco Guerrero,0.5591397849462365,0.010752688172043012,0.010752688172043012,50.54838709677419,36.01075268817204,0.006012255752110071,0.00020859407592824366,36.01075268817204,2
Francisco Jurado Sosa,0.25,0.0,0.0,44.0,26.25,0.0,0.0,26.25,0
Francisco Miguel Ramirez Navas,0.16666666666666666,0.0,0.0,45.666666666666664,31.666666666666668,0.0,0.0,31.666666666666668,0
Francisco Navarro,0.6764705882352942,0.0,0.022058823529411766,53.22794117647059,41.294117647058826,0.0,0.0004067796610169492,41.294117647058826,2
Franco Dal Bianco,0.3333333333333333,0.0,0.0,46.666666666666664,31.666666666666668,0.0,0.0,31.666666666666668,2
Franco Stupaczuk,0.7484276729559748,0.0,0.006289308176100629,55.15094339622642,42.9622641509434,0.0,0.00011200716845878136,42.9622641509434,2
Gabriela Roux Vidal,0.0,0.0,0.0,40.0,21.0,0.0,0.0,21.0,0
Gemma Triay Pons,0.8353658536585366,0.024390243902439025,0.006097560975609756,57.451219512195124,50.676829268292686,0.02037477691850089,0.00010431879824744419,50.676829268292686,3
Georges Wakim,0.0,0.0,0.0,41.5,23.5,0.0,0.0,23.5,0
Gerard Arnaldos Serrano,0.375,0.0,0.125,44.0,32.875,0.0,0.002777777777777778,32.875,2
Gianina Minieri,0.0,0.0,0.0,40.0,21.0,0.0,0.0,21.0,0
Gimena Sol Perez,0.0,0.0,0.0,24.0,12.0,0.0,0.0,12.0,0
Giorgia Marchetti,0.3333333333333333,0.020833333333333332,0.020833333333333332,46.854166666666664,39.0,0.006944444444444444,0.00043535045711797995,39.0,2
Giulia Dal Pozzo,0.16666666666666666,0.0,0.0,45.333333333333336,38.666666666666664,0.0,0.0,38.666666666666664,2
Giulia Sussarello,0.2,0.2,0.0,43.4,39.8,0.04000000000000001,0.0,39.8,3
Giulio Graziotti,0.0,0.0,0.0,43.57142857142857,28.571428571428573,0.0,0.0,28.571428571428573,0
Gonzalo Alfonso,0.4883720930232558,0.0,0.046511627906976744,50.18604651162791,38.348837209302324,0.0,0.0009086778736937755,38.348837209302324,2
Gonzalo Perez Arbona,0.0,0.0,1.0,39.0,17.0,0.0,0.025,17.0,1
Gonzalo Rubio,0.38235294117647056,0.014705882352941176,0.04411764705882353,47.779411764705884,34.10294117647059,0.005622837370242214,0.0009044317154054869,34.10294117647059,2
Guillem Figuerola Santiago,0.0,0.0,0.0,41.0,26.0,0.0,0.0,26.0,0
Guillermo Collado,0.43902439024390244,0.0,0.024390243902439025,49.073170731707314,35.41463414634146,0.0,0.0004870920603994155,35.41463414634146,2
Gustavo Nunes,0.16666666666666666,0.0,0.16666666666666666,41.0,23.0,0.0,0.003968253968253968,23.0,0
Hassan Adel Waly,0.0,0.0,0.0,38.0,27.0,0.0,0.0,27.0,0
Helena Wyckaert,0.25,0.25,0.0,41.75,28.5,0.0625,0.0,28.5,3
Henrique Barbosa,0.5,0.0,0.0,47.5,31.5,0.0,0.0,31.5,2
Ignacio Andres Lehyt Sances,0.0,0.0,0.0,34.0,9.0,0.0,0.0,9.0,0
Ignacio Piotto,0.3333333333333333,0.027777777777777776,0.027777777777777776,47.888888888888886,35.361111111111114,0.009259259259259259,0.0005681818181818182,35.361111111111114,2
Ignacio Sager,0.42028985507246375,0.0,0.10144927536231885,47.44927536231884,32.84057971014493,0.0,0.0020939276099311995,32.84057971014493,2
Iman Metwally,0.0,0.0,0.0,33.0,30.0,0.0,0.0,30.0,0
Inigo Jofre,0.4393939393939394,0.015151515151515152,0.06060606060606061,48.78787878787879,34.39393939393939,0.006657483930211203,0.0012172854534388314,34.39393939393939,2
Irene Jimenez,0.0,0.0,0.0,35.0,24.0,0.0,0.0,24.0,0
Isaac Huysveld,0.0,0.0,0.0,33.0,18.0,0.0,0.0,18.0,0
Ivan Ramirez,0.26666666666666666,0.0,0.03333333333333333,46.7,34.43333333333333,0.0,0.0006988120195667365,34.43333333333333,2
Ivo Andenmatten Gudi??o,0.0,0.0,1.0,38.0,28.0,0.0,0.02564102564102564,28.0,1
Jabor Al-Mutawa,0.0,0.0,0.0,27.0,27.5,0.0,0.0,27.5,0
Jaime Fermosell Delgado,0.3333333333333333,0.0,0.0,44.77777777777778,35.0,0.0,0.0,35.0,2
Jaime Munoz,0.275,0.0,0.0,47.125,34.325,0.0,0.0,34.325,2
Jairo Bautista,0.49382716049382713,0.0,0.012345679012345678,49.888888888888886,35.48148148148148,0.0,0.00024260067928190198,35.48148148148148,2
Jana Montes Cabruja,0.2857142857142857,0.0,0.07142857142857142,46.964285714285715,38.857142857142854,0.0,0.0014892032762472075,38.857142857142854,2
Janine Hemmes,0.0,0.0,0.0,31.0,21.0,0.0,0.0,21.0,0
Jaume Romera Barcelo,0.6666666666666666,0.0,0.16666666666666666,51.833333333333336,39.0,0.0,0.003154574132492113,39.0,2
Javier Barahona,0.4864864864864865,0.0,0.05405405405405406,49.0,36.13513513513514,0.0,0.001081081081081081,36.13513513513514,2
Javier Bravo Alvarez,0.0,0.0,0.0,38.0,12.0,0.0,0.0,12.0,0
Javier Garcia,0.4647887323943662,0.0,0.028169014084507043,49.352112676056336,36.70422535211268,0.0,0.0005594405594405594,36.70422535211268,2
Javier Garrido,0.5851063829787234,0.010638297872340425,0.0425531914893617,51.638297872340424,37.851063829787236,0.006224535989135355,0.0008084074373484236,37.851063829787236,2
Javier Leal,0.5617977528089888,0.011235955056179775,0.0,51.50561797752809,37.247191011235955,0.006312334301224593,0.0,37.247191011235955,2
Javier Martinez,0.38,0.0,0.0,47.82,35.28,0.0,0.0,35.28,2
Javier Navarro Perez,0.0,0.0,0.0,31.0,25.0,0.0,0.0,25.0,0
Javier Rico,0.44,0.0,0.02,48.06,35.32,0.0,0.00040766408479412964,35.32,2
Javier Rodriguez Marquez,0.0,0.0,1.0,39.0,17.0,0.0,0.025,17.0,1
Javier Ruiz,0.4126984126984127,0.015873015873015872,0.031746031746031744,49.03174603174603,35.58730158730159,0.006550768455530359,0.0006345177664974619,35.58730158730159,2
Javier Valdes,0.37735849056603776,0.0,0.05660377358490566,48.18867924528302,36.339622641509436,0.0,0.0011507479861910242,36.339622641509436,2
Jeremy Scatena,0.0,0.0,0.0,45.0,27.0,0.0,0.0,27.0,0
Jerome Inzerillo,0.0,0.0,0.0,48.0,31.0,0.0,0.0,31.0,0
Jessica Castello Lopez,0.5943396226415094,0.009433962264150943,0.018867924528301886,51.68867924528302,44.58490566037736,0.0056069775720897115,0.00035810205908683976,44.58490566037736,2
Jessica Ginier Barbier,0.0,0.0,0.0,36.75,26.5,0.0,0.0,26.5,0
Jesus Moya,0.38095238095238093,0.0,0.09523809523809523,48.23809523809524,34.642857142857146,0.0,0.001934235976789168,34.642857142857146,2
Jimena Velasco,0.3333333333333333,0.0,0.0,46.666666666666664,43.333333333333336,0.0,0.0,43.333333333333336,2
Jimena Velasco Postiguillo,0.40625,0.0,0.125,47.234375,40.90625,0.0,0.0025915127955944283,40.90625,2
Joao Maria Caiano,0.6666666666666666,0.0,0.0,50.666666666666664,41.333333333333336,0.0,0.0,41.333333333333336,2
Joel Olivera Palos,0.0,0.0,0.0,42.0,30.0,0.0,0.0,30.0,0
Johan Bergeron,0.14285714285714285,0.0,0.14285714285714285,43.714285714285715,33.42857142857143,0.0,0.003194888178913738,33.42857142857143,0
Johannes Lindmeyer,0.0,0.0,0.0,33.0,28.0,0.0,0.0,28.0,0
Jon Sanz,0.6475409836065574,0.01639344262295082,0.01639344262295082,52.10655737704918,40.13934426229508,0.010615425960763238,0.0003086896125945362,40.13934426229508,3
Jorge Nieto,0.6640625,0.0234375,0.015625,52.875,41.0234375,0.01556396484375,0.0002900232018561485,41.0234375,3
Jorge Ruiz,0.22727272727272727,0.045454545454545456,0.0,45.18181818181818,35.04545454545455,0.010330578512396695,0.0,35.04545454545455,2
Joris De Weerdt,0.0,0.0,0.0,36.0,26.0,0.0,0.0,26.0,0
Jose Angel Montoya,0.0,0.0,0.0,38.0,35.0,0.0,0.0,35.0,0
Jose Antonio Diestro,0.43661971830985913,0.0,0.0,48.63380281690141,36.15492957746479,0.0,0.0,36.15492957746479,2
Jose Carlos Gaspar,0.0,0.0,0.0,42.0,32.5,0.0,0.0,32.5,0
Jose David Sanchez,0.2916666666666667,0.0,0.041666666666666664,47.083333333333336,35.375,0.0,0.0008665511265164644,35.375,2
Jose Jimenez,0.375,0.017857142857142856,0.07142857142857142,47.55357142857143,35.125,0.006696428571428571,0.0014711290915777858,35.125,2
Jose Luis Gonzalez,0.22727272727272727,0.0,0.09090909090909091,47.18181818181818,34.09090909090909,0.0,0.001886792452830189,34.09090909090909,2
Jose Maria Alvarez Torres,0.0,0.0,0.0,39.0,25.0,0.0,0.0,25.0,0
Jose Maria Mouliaa,0.0,0.0,0.0,42.0,32.5,0.0,0.0,32.5,0
Jose Pablo Padilla,0.2,0.0,0.0,43.2,29.8,0.0,0.0,29.8,0
Jose Rico,0.4090909090909091,0.0,0.045454545454545456,47.36363636363637,35.65909090909091,0.0,0.0009398496240601503,35.65909090909091,2
Jose Roman Martinez Sanchis,0.0,0.0,0.0,39.0,29.0,0.0,0.0,29.0,0
Jose Solano Marmolejo,0.34615384615384615,0.0,0.0,46.46153846153846,32.88461538461539,0.0,0.0,32.88461538461539,2
Juan Cruz Belluati,0.36065573770491804,0.0,0.06557377049180328,46.83606557377049,33.0655737704918,0.0,0.0013708019191226869,33.0655737704918,2
Juan Ignacio De Pascual,0.4444444444444444,0.0,0.1111111111111111,48.55555555555556,34.22222222222222,0.0,0.002242152466367713,34.22222222222222,2
